column_one,column_two
$8N8567,U222
$8N8567,C2752
$8N8567,R1052
GNSS-RESET#,C632
GNSS-RESET#,U128
GNSS-RESET#,U1B9
RF-TxRx-D8,RN26
RF-TxRx-D8,TP1051
RF-TxRx-D8,U1D2
$2N8536,R2242
$2N8536,U1D13
$6N4323,U1725
$6N4323,RN213
RF-LNA1-EN,U1C15
RF-LNA1-EN,L451
$8N6527,U226
$8N6527,L521
$5N25,R31
$5N25,U123
GNSS_RX,R1431
GNSS_RX,C2021
GNSS_RX,R1172
$7N1247,C1801
$7N1247,U177
$7N1247,L312
VIN-POS-CONN,D8A
VIN-POS-CONN,P152
VIN-POS-CONN,D161
VIN-POS-CONN,C2141
GNSS-MOD-IN,U1211
GNSS-MOD-IN,C2022
$5N1501,U134
$5N1501,U135
$5N1503,U1348
$5N1503,U1349
BLE-RESET#,C861
BLE-RESET#,U131
BLE-RESET#,U1L13
BLE-RESET#,R2042
BLE-RESET#,P10410
BLE-RESET#,TP1481
BLE-UART-TX,U1314
BLE-UART-TX,TP1571
BLE-UART-TX,U1B11
$7N665,U1760
$7N665,R1102
BLE-UART-RX,U1315
BLE-UART-RX,U1C11
BLE-UART-RX,TP1581
$6N4418,U1730
$6N4418,RN916
BLE-UART-RTS,U1317
BLE-UART-RTS,U1D11
BLE-DBG-TDI,U1342
BLE-DBG-TDI,P1048
$11N4438,R2511
$11N4438,D39C
$11N4474,R2521
$11N4474,D40C
$8N3870,R1081
$8N3870,R1691
$8N3870,L502
$5N2642,U143
$5N2642,C711
$6N1349,L122
$6N1349,C1001
$6N1349,C971
$6N2134,C1181
$6N2134,TP351
$6N2134,U17115
$6N2134,R1181
$5N2645,U145
$5N2645,C721
$6N2483,U161
$6N2483,C1211
